,stand,hit,double down,split,surrender
upcard: 2 hand: 13 cv bin: 2,-24.436630287956373,-35.02890173410401,-72.60726072607264,0.0,0
upcard: 2 hand: 21 cv bin: 2,88.04726850058108,-100.0,0.0,0.0,0
upcard: 2 hand: 17 cv bin: 2,-12.062261522621274,-58.05471124620061,-153.8461538461539,0.0,0
upcard: 10 hand: 9 cv bin: 2,-50.66445182724255,-16.72948001570919,-60.91644204851749,0.0,0
upcard: 7 hand: 9 cv bin: 2,-57.89473684210526,24.363093871930232,28.50858242664673,0.0,0
upcard: 3 hand: 12 cv bin: 2,-18.6363209886471,-22.5707377638372,-50.229007633587806,0.0,0
upcard: 2 hand: 19 cv bin: 2,39.03730372432163,-66.17647058823529,-193.33333333333334,0.0,0
upcard: 6 hand: 14 cv bin: 2,-0.1365476406259457,-36.310679611650485,-54.356846473029044,0.0,0
upcard: 6 hand: 16 cv bin: 2,0.19744563341387575,-43.370165745856404,-80.53097345132747,0.0,0
upcard: 6 hand: 18 cv bin: 2,35.16886090440761,-78.68852459016395,-86.53846153846153,0.0,0
upcard: A hand: 12 cv bin: 2,-62.05985915492956,-39.06601838704609,-89.7058823529412,0.0,0
upcard: 10 hand: J J cv bin: 2,54.90071987975635,-78.57142857142857,-140.0,-14.893617021276595,0
upcard: 8 hand: 10 cv bin: 0,-51.04895104895104,15.674006019325184,19.068464843112736,0.0,0
upcard: 3 hand: 10 cv bin: 1,-27.777777777777768,23.959693972756057,47.08753315649869,0.0,0
upcard: 7 hand: A 8 cv bin: 2,67.42283950617268,10.204081632653063,48.96392939370687,0.0,0
upcard: 10 hand: A 3 cv bin: 2,-42.43455497382211,-18.73198847262235,-69.92481203007513,0.0,0
upcard: 2 hand: 20 cv bin: 1,63.195431821308986,-93.54838709677419,-171.42857142857142,-600.0,0
upcard: 2 hand: 21 cv bin: 1,88.1083368599241,-95.45454545454548,0.0,0.0,0
upcard: 3 hand: 18 cv bin: 0,11.65286542025378,-82.22222222222223,-161.53846153846155,0.0,0
upcard: 10 hand: 5 5 cv bin: 0,-63.39869281045752,1.3052468338071854,-2.112676056338028,-57.37704918032789,0
upcard: 7 hand: 10 10 cv bin: 1,75.85060617911621,-92.0,-200.0,6.557377049180336,0
upcard: 2 hand: 8 cv bin: 0,-37.296416938110774,-6.580421717428948,-23.69402985074625,0.0,0
upcard: 5 hand: 18 cv bin: 0,16.071452164836764,-63.24786324786325,-119.51219512195122,0.0,0
upcard: 5 hand: A A cv bin: 0,1.1456628477905093,13.059701492537311,7.207207207207207,54.37919122129646,0
upcard: 10 hand: 8 cv bin: 0,-54.31164901664146,-22.439234485599826,-93.24324324324323,0.0,0
upcard: 4 hand: 14 cv bin: 0,-25.171408891008426,-29.607004683363865,-66.41975308641973,0.0,0
upcard: 6 hand: 16 cv bin: 0,-15.874245192831031,-39.46188340807175,-77.319587628866,0.0,0
